ts,circelec,idservel,mex,tM,iM,pM,cM
2021-12-05 05:30:33.692920,7019,64,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,65,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,66,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7019,67,False,23,23,0,100.0
2021-12-05 05:30:33.692920,7019,68,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7019,69,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7019,70,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,71,False,16,16,0,100.0
2021-12-05 05:30:33.692920,7019,72,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7019,73,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,74,False,22,22,0,100.0
2021-12-05 05:30:33.692920,7019,75,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,76,False,18,18,0,100.0
2021-12-05 05:30:33.692920,7019,77,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,78,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7019,79,False,20,20,0,100.0
2021-12-05 05:30:33.692920,7458,1348,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7458,1349,False,25,25,0,100.0
2021-12-05 05:30:33.692920,7458,1350,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7458,1351,False,13,13,0,100.0
2021-12-05 05:30:33.692920,7036,153,False,19,19,0,100.0
2021-12-05 05:30:33.692920,7036,154,False,26,26,0,100.0
2021-12-05 05:30:33.692920,7092,325,False,10,10,0,100.0
2021-12-05 05:30:33.692920,7092,331,False,10,10,0,100.0
